function,dim,strategy1,strategy2,statistic,p_value,significant
ackley,2,WeightedFitnessCenterStrategy,TrimmedMeanCenterStrategy,ALL_CLOSE,ALL_CLOSE,SKIPPED
ackley,2,WeightedRankCenterStrategy,TrimmedMeanCenterStrategy,ALL_CLOSE,ALL_CLOSE,SKIPPED
ackley,5,ArithmeticMeanCenterStrategy,MedianCenterStrategy,77.0,0.3117942810058594,NO
ackley,5,ArithmeticMeanCenterStrategy,WeightedFitnessCenterStrategy,27.0,0.0023250579833984375,YES
ackley,5,ArithmeticMeanCenterStrategy,WeightedRankCenterStrategy,20.0,0.0007076263427734375,YES
ackley,5,ArithmeticMeanCenterStrategy,TrimmedMeanCenterStrategy,56.0,0.069580078125,NO
ackley,5,MedianCenterStrategy,WeightedFitnessCenterStrategy,36.0,0.00830841064453125,YES
ackley,5,MedianCenterStrategy,WeightedRankCenterStrategy,21.0,0.000850677490234375,YES
ackley,5,MedianCenterStrategy,TrimmedMeanCenterStrategy,53.0,0.052201543701691125,NO
ackley,5,WeightedFitnessCenterStrategy,WeightedRankCenterStrategy,ALL_CLOSE,ALL_CLOSE,SKIPPED
ackley,5,WeightedFitnessCenterStrategy,TrimmedMeanCenterStrategy,ALL_CLOSE,ALL_CLOSE,SKIPPED
ackley,5,WeightedRankCenterStrategy,TrimmedMeanCenterStrategy,ALL_CLOSE,ALL_CLOSE,SKIPPED
ackley,10,ArithmeticMeanCenterStrategy,MedianCenterStrategy,22.0,0.0010166168212890625,YES
ackley,10,ArithmeticMeanCenterStrategy,WeightedFitnessCenterStrategy,96.0,0.7561664581298828,NO
ackley,10,ArithmeticMeanCenterStrategy,WeightedRankCenterStrategy,40.0,0.013616561889648438,YES
ackley,10,ArithmeticMeanCenterStrategy,TrimmedMeanCenterStrategy,98.0,0.8123550415039062,NO
ackley,10,MedianCenterStrategy,WeightedFitnessCenterStrategy,21.0,0.000850677490234375,YES
ackley,10,MedianCenterStrategy,WeightedRankCenterStrategy,0.0,1.9073486328125e-06,YES
ackley,10,MedianCenterStrategy,TrimmedMeanCenterStrategy,0.0,1.9073486328125e-06,YES
ackley,10,WeightedFitnessCenterStrategy,WeightedRankCenterStrategy,40.0,0.013616561889648438,YES
ackley,10,WeightedFitnessCenterStrategy,TrimmedMeanCenterStrategy,98.0,0.7938214901244397,NO
ackley,10,WeightedRankCenterStrategy,TrimmedMeanCenterStrategy,ALL_CLOSE,ALL_CLOSE,SKIPPED
ackley,20,ArithmeticMeanCenterStrategy,MedianCenterStrategy,0.0,1.9073486328125e-06,YES
ackley,20,ArithmeticMeanCenterStrategy,WeightedFitnessCenterStrategy,ALL_CLOSE,ALL_CLOSE,SKIPPED
ackley,20,ArithmeticMeanCenterStrategy,WeightedRankCenterStrategy,ALL_CLOSE,ALL_CLOSE,SKIPPED
ackley,20,ArithmeticMeanCenterStrategy,TrimmedMeanCenterStrategy,ALL_CLOSE,ALL_CLOSE,SKIPPED
ackley,20,MedianCenterStrategy,WeightedFitnessCenterStrategy,0.0,1.9073486328125e-06,YES
ackley,20,MedianCenterStrategy,WeightedRankCenterStrategy,0.0,1.9073486328125e-06,YES
ackley,20,MedianCenterStrategy,TrimmedMeanCenterStrategy,0.0,1.9073486328125e-06,YES
ackley,20,WeightedFitnessCenterStrategy,WeightedRankCenterStrategy,ALL_CLOSE,ALL_CLOSE,SKIPPED
ackley,20,WeightedFitnessCenterStrategy,TrimmedMeanCenterStrategy,ALL_CLOSE,ALL_CLOSE,SKIPPED
ackley,20,WeightedRankCenterStrategy,TrimmedMeanCenterStrategy,ALL_CLOSE,ALL_CLOSE,SKIPPED
schwefel,2,ArithmeticMeanCenterStrategy,MedianCenterStrategy,32.5,0.011890044684392302,YES
schwefel,2,ArithmeticMeanCenterStrategy,WeightedFitnessCenterStrategy,37.0,0.009435653686523438,YES
schwefel,2,ArithmeticMeanCenterStrategy,WeightedRankCenterStrategy,81.0,0.38837623596191406,NO
schwefel,2,ArithmeticMeanCenterStrategy,TrimmedMeanCenterStrategy,100.0,0.8694877624511719,NO
schwefel,2,MedianCenterStrategy,WeightedFitnessCenterStrategy,37.0,0.009435653686523438,YES
schwefel,2,MedianCenterStrategy,WeightedRankCenterStrategy,57.0,0.0758514404296875,NO
schwefel,2,MedianCenterStrategy,TrimmedMeanCenterStrategy,97.0,0.7841262817382812,NO
schwefel,2,WeightedFitnessCenterStrategy,WeightedRankCenterStrategy,37.0,0.009435653686523438,YES
schwefel,2,WeightedFitnessCenterStrategy,TrimmedMeanCenterStrategy,37.0,0.009435653686523438,YES
schwefel,2,WeightedRankCenterStrategy,TrimmedMeanCenterStrategy,100.0,0.8694877624511719,NO
schwefel,5,ArithmeticMeanCenterStrategy,MedianCenterStrategy,66.0,0.15364646911621094,NO
schwefel,5,ArithmeticMeanCenterStrategy,WeightedFitnessCenterStrategy,43.0,0.01923370361328125,YES
schwefel,5,ArithmeticMeanCenterStrategy,WeightedRankCenterStrategy,46.0,0.026641845703125,YES
schwefel,5,ArithmeticMeanCenterStrategy,TrimmedMeanCenterStrategy,59.0,0.08969497680664062,NO
schwefel,5,MedianCenterStrategy,WeightedFitnessCenterStrategy,43.0,0.01923370361328125,YES
schwefel,5,MedianCenterStrategy,WeightedRankCenterStrategy,57.0,0.0758514404296875,NO
schwefel,5,MedianCenterStrategy,TrimmedMeanCenterStrategy,61.0,0.10539817810058594,NO
schwefel,5,WeightedFitnessCenterStrategy,WeightedRankCenterStrategy,43.0,0.01923370361328125,YES
schwefel,5,WeightedFitnessCenterStrategy,TrimmedMeanCenterStrategy,43.0,0.01923370361328125,YES
schwefel,5,WeightedRankCenterStrategy,TrimmedMeanCenterStrategy,68.0,0.17685317993164062,NO
schwefel,10,ArithmeticMeanCenterStrategy,MedianCenterStrategy,16.0,0.0003223419189453125,YES
schwefel,10,ArithmeticMeanCenterStrategy,WeightedFitnessCenterStrategy,102.0,0.9272785186767578,NO
schwefel,10,ArithmeticMeanCenterStrategy,WeightedRankCenterStrategy,84.0,0.4523754119873047,NO
schwefel,10,ArithmeticMeanCenterStrategy,TrimmedMeanCenterStrategy,69.0,0.1893482208251953,NO
schwefel,10,MedianCenterStrategy,WeightedFitnessCenterStrategy,102.0,0.9272785186767578,NO
schwefel,10,MedianCenterStrategy,WeightedRankCenterStrategy,14.0,0.000209808349609375,YES
schwefel,10,MedianCenterStrategy,TrimmedMeanCenterStrategy,23.0,0.001209259033203125,YES
schwefel,10,WeightedFitnessCenterStrategy,WeightedRankCenterStrategy,103.0,0.956329345703125,NO
schwefel,10,WeightedFitnessCenterStrategy,TrimmedMeanCenterStrategy,102.0,0.9272785186767578,NO
schwefel,10,WeightedRankCenterStrategy,TrimmedMeanCenterStrategy,74.0,0.26109886169433594,NO
schwefel,20,ArithmeticMeanCenterStrategy,MedianCenterStrategy,92.0,0.6476554870605469,NO
schwefel,20,ArithmeticMeanCenterStrategy,WeightedFitnessCenterStrategy,82.0,0.40909767150878906,NO
schwefel,20,ArithmeticMeanCenterStrategy,WeightedRankCenterStrategy,93.0,0.6742229461669922,NO
schwefel,20,ArithmeticMeanCenterStrategy,TrimmedMeanCenterStrategy,62.0,0.11398696899414062,NO
schwefel,20,MedianCenterStrategy,WeightedFitnessCenterStrategy,82.0,0.40909767150878906,NO
schwefel,20,MedianCenterStrategy,WeightedRankCenterStrategy,95.0,0.7285060882568359,NO
schwefel,20,MedianCenterStrategy,TrimmedMeanCenterStrategy,69.0,0.1893482208251953,NO
schwefel,20,WeightedFitnessCenterStrategy,WeightedRankCenterStrategy,82.0,0.40909767150878906,NO
schwefel,20,WeightedFitnessCenterStrategy,TrimmedMeanCenterStrategy,82.0,0.40909767150878906,NO
schwefel,20,WeightedRankCenterStrategy,TrimmedMeanCenterStrategy,94.0,0.7011814117431641,NO
griewank,2,ArithmeticMeanCenterStrategy,MedianCenterStrategy,30.0,0.00365447998046875,YES
griewank,2,ArithmeticMeanCenterStrategy,WeightedFitnessCenterStrategy,105.0,1.0,NO
griewank,2,ArithmeticMeanCenterStrategy,WeightedRankCenterStrategy,88.0,0.7781771795228314,NO
griewank,2,ArithmeticMeanCenterStrategy,TrimmedMeanCenterStrategy,31.0,0.0042209625244140625,YES
griewank,2,MedianCenterStrategy,WeightedFitnessCenterStrategy,20.0,0.0007076263427734375,YES
griewank,2,MedianCenterStrategy,WeightedRankCenterStrategy,40.0,0.013616561889648438,YES
griewank,2,MedianCenterStrategy,TrimmedMeanCenterStrategy,90.0,0.5958194732666016,NO
griewank,2,WeightedFitnessCenterStrategy,WeightedRankCenterStrategy,79.0,0.3316807695178907,NO
griewank,2,WeightedFitnessCenterStrategy,TrimmedMeanCenterStrategy,32.0,0.00485992431640625,YES
griewank,2,WeightedRankCenterStrategy,TrimmedMeanCenterStrategy,50.0,0.039989471435546875,YES
griewank,5,ArithmeticMeanCenterStrategy,MedianCenterStrategy,49.0,0.03623390197753906,YES
griewank,5,ArithmeticMeanCenterStrategy,WeightedFitnessCenterStrategy,94.0,0.7011814117431641,NO
griewank,5,ArithmeticMeanCenterStrategy,WeightedRankCenterStrategy,104.0,0.9854354858398438,NO
griewank,5,ArithmeticMeanCenterStrategy,TrimmedMeanCenterStrategy,76.0,0.44450890263539566,NO
griewank,5,MedianCenterStrategy,WeightedFitnessCenterStrategy,64.0,0.21221142185606556,NO
griewank,5,MedianCenterStrategy,WeightedRankCenterStrategy,40.0,0.013616561889648438,YES
griewank,5,MedianCenterStrategy,TrimmedMeanCenterStrategy,87.0,0.5216732025146484,NO
griewank,5,WeightedFitnessCenterStrategy,WeightedRankCenterStrategy,81.0,0.38837623596191406,NO
griewank,5,WeightedFitnessCenterStrategy,TrimmedMeanCenterStrategy,83.0,0.4304332733154297,NO
griewank,5,WeightedRankCenterStrategy,TrimmedMeanCenterStrategy,73.0,0.24548721313476562,NO
griewank,10,ArithmeticMeanCenterStrategy,MedianCenterStrategy,0.0,1.9073486328125e-06,YES
griewank,10,ArithmeticMeanCenterStrategy,WeightedFitnessCenterStrategy,25.0,0.7983461604505482,NO
griewank,10,ArithmeticMeanCenterStrategy,WeightedRankCenterStrategy,23.0,0.6464622026641696,NO
griewank,10,ArithmeticMeanCenterStrategy,TrimmedMeanCenterStrategy,37.5,0.5759870294965579,NO
griewank,10,MedianCenterStrategy,WeightedFitnessCenterStrategy,0.0,1.9073486328125e-06,YES
griewank,10,MedianCenterStrategy,WeightedRankCenterStrategy,0.0,1.9073486328125e-06,YES
griewank,10,MedianCenterStrategy,TrimmedMeanCenterStrategy,0.0,1.9073486328125e-06,YES
griewank,10,WeightedFitnessCenterStrategy,WeightedRankCenterStrategy,13.5,0.2858975599599568,NO
griewank,10,WeightedFitnessCenterStrategy,TrimmedMeanCenterStrategy,13.5,0.1533092238491398,NO
griewank,10,WeightedRankCenterStrategy,TrimmedMeanCenterStrategy,32.0,0.9291527647091152,NO
griewank,20,ArithmeticMeanCenterStrategy,MedianCenterStrategy,0.0,1.9073486328125e-06,YES
griewank,20,ArithmeticMeanCenterStrategy,WeightedFitnessCenterStrategy,4.0,0.7054569861112734,NO
griewank,20,ArithmeticMeanCenterStrategy,WeightedRankCenterStrategy,2.5,0.7854947471183542,NO
griewank,20,ArithmeticMeanCenterStrategy,TrimmedMeanCenterStrategy,1.5,0.4142161782425252,NO
griewank,20,MedianCenterStrategy,WeightedFitnessCenterStrategy,0.0,1.9073486328125e-06,YES
griewank,20,MedianCenterStrategy,WeightedRankCenterStrategy,7.0,3.62396240234375e-05,YES
griewank,20,MedianCenterStrategy,TrimmedMeanCenterStrategy,0.0,1.9073486328125e-06,YES
griewank,20,WeightedFitnessCenterStrategy,WeightedRankCenterStrategy,3.0,1.0,NO
griewank,20,WeightedFitnessCenterStrategy,TrimmedMeanCenterStrategy,2.0,0.5637028616507731,NO
griewank,20,WeightedRankCenterStrategy,TrimmedMeanCenterStrategy,1.0,0.6547208460185769,NO
zakharov,2,ArithmeticMeanCenterStrategy,MedianCenterStrategy,ALL_CLOSE,ALL_CLOSE,SKIPPED
zakharov,2,ArithmeticMeanCenterStrategy,WeightedFitnessCenterStrategy,ALL_CLOSE,ALL_CLOSE,SKIPPED
zakharov,2,ArithmeticMeanCenterStrategy,WeightedRankCenterStrategy,ALL_CLOSE,ALL_CLOSE,SKIPPED
zakharov,2,ArithmeticMeanCenterStrategy,TrimmedMeanCenterStrategy,ALL_CLOSE,ALL_CLOSE,SKIPPED
zakharov,2,MedianCenterStrategy,WeightedFitnessCenterStrategy,ALL_CLOSE,ALL_CLOSE,SKIPPED
zakharov,2,MedianCenterStrategy,WeightedRankCenterStrategy,ALL_CLOSE,ALL_CLOSE,SKIPPED
zakharov,2,MedianCenterStrategy,TrimmedMeanCenterStrategy,ALL_CLOSE,ALL_CLOSE,SKIPPED
zakharov,2,WeightedFitnessCenterStrategy,WeightedRankCenterStrategy,ALL_CLOSE,ALL_CLOSE,SKIPPED
zakharov,2,WeightedFitnessCenterStrategy,TrimmedMeanCenterStrategy,ALL_CLOSE,ALL_CLOSE,SKIPPED
zakharov,2,WeightedRankCenterStrategy,TrimmedMeanCenterStrategy,ALL_CLOSE,ALL_CLOSE,SKIPPED
zakharov,5,ArithmeticMeanCenterStrategy,MedianCenterStrategy,3.0,9.5367431640625e-06,YES
zakharov,5,ArithmeticMeanCenterStrategy,WeightedFitnessCenterStrategy,ALL_CLOSE,ALL_CLOSE,SKIPPED
zakharov,5,ArithmeticMeanCenterStrategy,WeightedRankCenterStrategy,ALL_CLOSE,ALL_CLOSE,SKIPPED
zakharov,5,ArithmeticMeanCenterStrategy,TrimmedMeanCenterStrategy,ALL_CLOSE,ALL_CLOSE,SKIPPED
zakharov,5,MedianCenterStrategy,WeightedFitnessCenterStrategy,11.0,0.0001049041748046875,YES
zakharov,5,MedianCenterStrategy,WeightedRankCenterStrategy,3.0,9.5367431640625e-06,YES
zakharov,5,MedianCenterStrategy,TrimmedMeanCenterStrategy,6.0,2.6702880859375e-05,YES
zakharov,5,WeightedFitnessCenterStrategy,WeightedRankCenterStrategy,ALL_CLOSE,ALL_CLOSE,SKIPPED
zakharov,5,WeightedFitnessCenterStrategy,TrimmedMeanCenterStrategy,ALL_CLOSE,ALL_CLOSE,SKIPPED
zakharov,5,WeightedRankCenterStrategy,TrimmedMeanCenterStrategy,ALL_CLOSE,ALL_CLOSE,SKIPPED
zakharov,10,ArithmeticMeanCenterStrategy,MedianCenterStrategy,0.0,1.9073486328125e-06,YES
zakharov,10,ArithmeticMeanCenterStrategy,WeightedFitnessCenterStrategy,0.0,1.9073486328125e-06,YES
zakharov,10,ArithmeticMeanCenterStrategy,WeightedRankCenterStrategy,ALL_CLOSE,ALL_CLOSE,SKIPPED
zakharov,10,ArithmeticMeanCenterStrategy,TrimmedMeanCenterStrategy,ALL_CLOSE,ALL_CLOSE,SKIPPED
zakharov,10,MedianCenterStrategy,WeightedFitnessCenterStrategy,0.0,1.9073486328125e-06,YES
zakharov,10,MedianCenterStrategy,WeightedRankCenterStrategy,0.0,1.9073486328125e-06,YES
zakharov,10,MedianCenterStrategy,TrimmedMeanCenterStrategy,0.0,1.9073486328125e-06,YES
zakharov,10,WeightedFitnessCenterStrategy,WeightedRankCenterStrategy,0.0,1.9073486328125e-06,YES
zakharov,10,WeightedFitnessCenterStrategy,TrimmedMeanCenterStrategy,0.0,1.9073486328125e-06,YES
zakharov,10,WeightedRankCenterStrategy,TrimmedMeanCenterStrategy,ALL_CLOSE,ALL_CLOSE,SKIPPED
zakharov,20,ArithmeticMeanCenterStrategy,MedianCenterStrategy,0.0,1.9073486328125e-06,YES
zakharov,20,ArithmeticMeanCenterStrategy,WeightedFitnessCenterStrategy,0.0,1.9073486328125e-06,YES
zakharov,20,ArithmeticMeanCenterStrategy,WeightedRankCenterStrategy,0.0,1.9073486328125e-06,YES
zakharov,20,ArithmeticMeanCenterStrategy,TrimmedMeanCenterStrategy,0.0,1.9073486328125e-06,YES
zakharov,20,MedianCenterStrategy,WeightedFitnessCenterStrategy,0.0,1.9073486328125e-06,YES
zakharov,20,MedianCenterStrategy,WeightedRankCenterStrategy,0.0,1.9073486328125e-06,YES
zakharov,20,MedianCenterStrategy,TrimmedMeanCenterStrategy,0.0,1.9073486328125e-06,YES
zakharov,20,WeightedFitnessCenterStrategy,WeightedRankCenterStrategy,0.0,1.9073486328125e-06,YES
zakharov,20,WeightedFitnessCenterStrategy,TrimmedMeanCenterStrategy,0.0,1.9073486328125e-06,YES
zakharov,20,WeightedRankCenterStrategy,TrimmedMeanCenterStrategy,94.0,0.7011814117431641,NO
michalewicz,2,ArithmeticMeanCenterStrategy,MedianCenterStrategy,59.0,0.1466782095834637,NO
michalewicz,2,ArithmeticMeanCenterStrategy,WeightedFitnessCenterStrategy,11.0,0.0004488206370567378,YES
michalewicz,2,ArithmeticMeanCenterStrategy,WeightedRankCenterStrategy,65.5,0.6018491377401924,NO
michalewicz,2,ArithmeticMeanCenterStrategy,TrimmedMeanCenterStrategy,67.5,0.9793631374580557,NO
michalewicz,2,MedianCenterStrategy,WeightedFitnessCenterStrategy,13.0,0.000966183741395627,YES
michalewicz,2,MedianCenterStrategy,WeightedRankCenterStrategy,68.5,0.7040763398559216,NO
michalewicz,2,MedianCenterStrategy,TrimmedMeanCenterStrategy,59.5,0.2571657751084814,NO
michalewicz,2,WeightedFitnessCenterStrategy,WeightedRankCenterStrategy,6.0,0.00034108250232265465,YES
michalewicz,2,WeightedFitnessCenterStrategy,TrimmedMeanCenterStrategy,3.0,0.0005026300645801942,YES
michalewicz,2,WeightedRankCenterStrategy,TrimmedMeanCenterStrategy,48.5,0.31281470203936923,NO
booth,2,ArithmeticMeanCenterStrategy,MedianCenterStrategy,ALL_CLOSE,ALL_CLOSE,SKIPPED
booth,2,ArithmeticMeanCenterStrategy,WeightedFitnessCenterStrategy,ALL_CLOSE,ALL_CLOSE,SKIPPED
booth,2,ArithmeticMeanCenterStrategy,WeightedRankCenterStrategy,ALL_CLOSE,ALL_CLOSE,SKIPPED
booth,2,ArithmeticMeanCenterStrategy,TrimmedMeanCenterStrategy,ALL_CLOSE,ALL_CLOSE,SKIPPED
booth,2,MedianCenterStrategy,WeightedFitnessCenterStrategy,ALL_CLOSE,ALL_CLOSE,SKIPPED
booth,2,MedianCenterStrategy,WeightedRankCenterStrategy,ALL_CLOSE,ALL_CLOSE,SKIPPED
booth,2,MedianCenterStrategy,TrimmedMeanCenterStrategy,ALL_CLOSE,ALL_CLOSE,SKIPPED
booth,2,WeightedFitnessCenterStrategy,WeightedRankCenterStrategy,ALL_CLOSE,ALL_CLOSE,SKIPPED
booth,2,WeightedFitnessCenterStrategy,TrimmedMeanCenterStrategy,ALL_CLOSE,ALL_CLOSE,SKIPPED
booth,2,WeightedRankCenterStrategy,TrimmedMeanCenterStrategy,ALL_CLOSE,ALL_CLOSE,SKIPPED
